Paternal genotype,WY,WY,WY,WY,BY,BY,BY,BY,WX,WX,WX,WX,BX,BX,BX,BX
"WWW,WWW",r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0
"WWW,WWR",r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0
"WWW,WGW",c*m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2) + c*m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,c*(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2) + c*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WWW,WGR",m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2),m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2),(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WWW,BWW",r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0
"WWW,BWR",r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0
"WWW,BGW",c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2 + m*(1 - c)^2*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2 + cH*m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),c^2*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2 + m*(1 - c)^2*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2),c^2*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + c*m*r1*r2*(1 - c)*(1 - cH)/2 + c*m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2 + cH*m*(1 - c)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)^2*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*m*r2*(1 - c)*(1 - cH)*(1 - r1)/2 + c*m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2 + (1 - c)^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2 + cH*(1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),c^2*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2 + (1 - c)^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2),c^2*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + c*r1*r2*(1 - c)*(1 - cH)*(1 - m)/2 + c*r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2 + cH*(1 - c)^2*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),c^2*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c^2*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + c*cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + c*r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2 + c*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2
"WWW,BGR",m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,m*r1*(1 - c)*(1 - cH)*(1 - r2)/2,c*m*(1 - cH)*(r1*r2/2 + r1*(1 - r2)/2) + m*r1*r2*(1 - c)*(1 - cH)/2,cH*m*(1 - c)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + m*r2*(1 - c)*(1 - cH)*(1 - r1)/2,c*cH*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*m*(1 - cH)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*m*(1 - c)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(1 - cH)*(1 - r1)*(1 - r2)/2,(1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2,c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,r1*(1 - c)*(1 - cH)*(1 - m)*(1 - r2)/2,c*(1 - cH)*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2) + r1*r2*(1 - c)*(1 - cH)*(1 - m)/2,cH*(1 - c)*(1 - m)*(r1*(1 - r2)/2 + r2*(1 - r1)/2) + r2*(1 - c)*(1 - cH)*(1 - m)*(1 - r1)/2,c*cH*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + c*(1 - cH)*(1 - m)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + cH*(1 - c)*(1 - m)*(r1*r2/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - cH)*(1 - m)*(1 - r1)*(1 - r2)/2
"WWR,WWR",0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0
"WWR,WGW",m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),m*(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + m*(1 - c)*(r1*r2/2 + r2*(1 - r1)/2),0,0,0,0,(1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),(1 - c)*(1 - m)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2),c*(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - c)*(1 - m)*(r1*r2/2 + r2*(1 - r1)/2),0,0,0,0
"WWR,WGR",0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,m*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,(1 - m)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0
"WWR,BWW",r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0
"WWR,BWR",0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0
