Paternal genotype,WY,WY,WY,WY,WY,WY,BY,BY,BY,BY,BY,BY,WX,WX,WX,WX,WX,WX,BX,BX,BX,BX,BX,BX
"WWW,WWW",r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0
"WWW,WWT",r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0
"WWW,WGW",(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0
"WWW,WGT",(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,(1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2,0,0,0,0,0,0,(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,(1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2,0,0,0,0,0,0
"WWW,WRW",r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0
"WWW,WRT",r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0
"WWW,BWW",r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0
"WWW,BWT",r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0
"WWW,BGW",cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4,cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4
"WWW,BGT",(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4 + r1*r2*(1 - c)*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4,r1*(1 - c)*(1 - cT)*(1 - r2)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4,(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4 + r1*r2*(1 - c)*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4,r1*(1 - c)*(1 - cT)*(1 - r2)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4
"WWW,BRW",r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0
"WWW,BRT",(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,0,0,r1*r2/4,r1*(1 - r2)/4,r1*(1 - r2)/4,r1*r2/4,0,0,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,0,0,r1*r2/4,r1*(1 - r2)/4,r1*(1 - r2)/4,r1*r2/4,0,0,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4
"WWT,WWT",0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0
"WWT,WGW",(1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,(1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,(1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0
"WWT,WGT",0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0
"WWT,WRW",r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,0,0,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,0,0,0,0
"WWT,WRT",0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0
"WWT,BWW",r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0
"WWT,BWT",0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0
