Paternal genotype,WY,WY,WY,WY,WY,WY,BY,BY,BY,BY,BY,BY,WX,WX,WX,WX,WX,WX,BX,BX,BX,BX,BX,BX
"WWT,BGW",r2*(1 - c)*(1 - cT)*(1 - r1)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4,r1*r2*(1 - c)*(1 - cT)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4,r2*(1 - c)*(1 - cT)*(1 - r1)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4,r1*r2*(1 - c)*(1 - cT)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4
"WWT,BGT",0,(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2,0,c*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2,0,c*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2)/2,0,(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2,0,c*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2,0,c*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2)/2
"WWT,BRW",r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4,r1*r2/4,r1*r2/4,r1*(1 - r2)/4,0,0,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4,r1*r2/4,r1*r2/4,r1*(1 - r2)/4,0,0,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4
"WWT,BRT",0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"WGW,WGW",0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0
"WGW,WGT",0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0
"WGW,WRW",0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0
"WGW,WRT",0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0
"WGW,BWW",cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4,cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4,cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - c)*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*cT*r1*r2*(1 - cT)/4 + c*cT*r1*(1 - cT)*(1 - r2)/4 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - c)*(1 - cT)/4 + cT*r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + c*(1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*r2*(1 - cT)*(1 - r1)/4 + c*cT*(1 - cT)*(1 - r1)*(1 - r2)/4
"WGW,BWT",r1*r2*(1 - c)*(1 - cT)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4,r2*(1 - c)*(1 - cT)*(1 - r1)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4,r1*r2*(1 - c)*(1 - cT)/4,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - c)*(1 - cT)*(1 - r1)/4,c*r1*r2*(1 - cT)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*(1 - cT)*(1 - r2)/4,r2*(1 - c)*(1 - cT)*(1 - r1)/4,cT*(1 - c)*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(1 - r1)*(1 - r2)/4,c*r1*(1 - cT)*(1 - r2)/4 + r1*(1 - c)*(1 - cT)*(1 - r2)/4,c*cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + c*r1*r2*(1 - cT)/4 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - c)*(1 - cT)/4,c*r2*(1 - cT)*(1 - r1)/4,c*cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(1 - r1)*(1 - r2)/4
"WGW,BGW",0,0,cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0
"WGW,BGT",0,0,(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,0,0
