Paternal genotype,WY,WY,WY,WY,WY,WY,BY,BY,BY,BY,BY,BY,WX,WX,WX,WX,WX,WX,BX,BX,BX,BX,BX,BX
"WRT,BRT",0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"BWW,BWW",0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0
"BWW,BWT",0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0
"BWW,BGW",0,0,0,0,0,0,cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
"BWW,BGT",0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2
"BWW,BRW",0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0
"BWW,BRT",0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4
"BWT,BWT",0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0
"BWT,BGW",0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
"BWT,BGT",0,0,0,0,0,0,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,c*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2
"BWT,BRW",0,0,0,0,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,0,0,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4
"BWT,BRT",0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"BGW,BGW",0,0,0,0,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cT)^2*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2,cT^2*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2 + cT*(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0,0,0,0,0,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2) + (1 - cT)^2*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2,cT^2*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2 + cT*(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2),0,0
"BGW,BGT",0,0,0,0,0,0,0,0,(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2 + (1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,0,0,0,(1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2 + r1*(1 - r2) + r2*(1 - r1) + (1 - r1)*(1 - r2))/2 + (1 - cT)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,0,0
"BGW,BRW",0,0,0,0,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,0,cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
"BGW,BRT",0,0,0,0,0,0,0,0,(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,0,0,(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
"BGT,BGT",0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0
"BGT,BRW",0,0,0,0,0,0,0,0,(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,0,0,0,0,0,0,0,0,(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2
"BGT,BRT",0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"BRW,BRW",0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0
"BRW,BRT",0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"BRT,BRT",0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2
